Brand,Save,Details
 Finish® Dishwasher Detergent,Save $1.50  Finish® Dishwasher Detergent,"on Any ONE (1) Finish® Dishwasher Detergent (Quantum® or Power®), JET-DRY® Rinse Aid, or Dishwasher Cleaner"
 L'Oreal Paris,$3.00 OFF  L'Oreal Paris,"ANY TWO (2) L'Oreal Paris® Elvive haircare or Advanced Hairstyle products (excludes any 1 oz. product, 3 oz. shampoo &"
 Lysol®,Save $0.50  Lysol®,on Any ONE (1) Lysol® Product (excluding trial and travel sizes)
 Garnier® Fructis®,$3.00 OFF  Garnier® Fructis®,"on ANY TWO (2) Garnier® Fructis® shampoo, conditioner, treatment, styling or dry shampoo products (exclusions apply)"
 Colgate® Toothpaste,SAVE $1.00  Colgate® Toothpaste,"On any ONE (1) Colgate® Toothpaste (2.1oz or larger; excludes Colgate® Cavity Protection, Baking Soda & Peroxide, Sparkling"
 Colgate® Toothbrush or Mouthwash,SAVE $1.00  Colgate® Toothbrush or Mouthwash,"On any ONE (1) Colgate® 360°® Manual Toothbrush, Adult or Kids Battery Powered Toothbrush Or Mouthwash or Mouth Rinse (500mL or"
 L’Oréal Paris®,$5.00 OFF  L’Oréal Paris®,ANY ONE (1) L’Oréal Paris® Skincare or Sublime Bronze™ product (see details for exclusions)
 Sundown,Save $3.00  Sundown,Off any ONE (1) Sundown Nutrition Vitamin or Supplement Product
 NEUTROGENA®,Save $4.00  NEUTROGENA®,on any TWO (2) NEUTROGENA® Suncare products (excludes trial and travel sizes products)
 Pine-Sol® Multi-Surface Cleaner and Clorox® Bleach,Save $1.00  Pine-Sol® Multi-Surface Cleaner and Clorox® Bleach,"OFF any ONE (1) Pine-Sol® Multi-Surface Cleaner, 40oz+ or Clorox® Bleach product, 43oz+"
 NEUTROGENA®,Save $2.00  NEUTROGENA®,"off any ONE (1) NEUTROGENA® Liquid Cleanser (excludes Acne, Bars, Cleansing Towelettes, and Trial & Travel sizes products)"
 Olive Garden,$1.00 OFF  Olive Garden,any ONE (1) Olive Garden Salad Dressing
 M&M's Cookie Sandwich,Save $1.25  M&M's Cookie Sandwich,off ONE (1) M&M's Cookie Sandwich (4 ct) including Cookies and Cream Ice Cream Multipacks
 Nellie's Free Range Butter,$1.00 OFF  Nellie's Free Range Butter,"on any ONE (1) package of Nellie's Pasture-Raised, Grass-Fed Butter"
 Artisan Inspired®,$1.00 OFF  Artisan Inspired®,any ONE (1) bag of Artisan Inspired® Culinary Jerky Bites or Handcrafted Biscuits
 Cetaphil®,Save $3.00  Cetaphil®,"on any ONE (1) Cetaphil product (excludes 4 oz. or less–Daily Facial Cleanser, Gentle Skin Cleanser, Moisturizing Lotion or"
 NEUTROGENA®,Save $3.00  NEUTROGENA®,"off any ONE (1) NEUTROGENA® Facial Moisturizer, Serum or Treatment (excludes Acne and Trial & Travel sizes)"
 Nasonex™ ,$7.00 OFF  Nasonex™ ,ONE (1) Nasonex™ 24HR Allergy Spray (60ct)
 Aleve®,Save $3.00  Aleve®,on any ONE (1) Aleve® Pain Relief 80ct - 120ct (excl Aleve-D®)
 Ajax®,SAVE $0.50  Ajax®,On any ONE (1) Ajax® Dish Liquid
 Kellogg's® Cereals,SAVE $1.00  Kellogg's® Cereals,on ONE (1) Kellogg's Corn Flakes® Honey Cereal
 NEUTROGENA®,Save $1.00  NEUTROGENA®,off any ONE (1) NEUTROGENA® Makeup Remover Cleansing Towelettes or Liquid Remover (excludes Trial and Travel sizes)
 Kellogg's® Cereals,SAVE $1.00  Kellogg's® Cereals,on ONE Kellogg's® Froot Loops® with Marshmallows Jumbo Snax (5.04 oz.)
 Frutero Ice Cream,SAVE $1.00  Frutero Ice Cream,"on ONE (1) Pint of any flavor of Frutero Ice Cream. Mango, Coconut, Passion Fruit, Guava, Guanabana, Raspberry, Strawberry."
 hims & hers,$3.00 OFF  hims & hers,on any ONE (1) hims or hers hair care product
 Busy Bone® Dog Treat,$1.50 Off  Busy Bone® Dog Treat,on ONE (1) 6oz or larger package of Busy Bone® Dog Treats (excludes Rollhide®)
 Aleve®,Save $5.00  Aleve®,off any ONE (1) Aleve® Pain Relief 200ct or larger OR AleveX™ product (excl Aleve-D®)
 THERMACARE,$3.00 OFF  THERMACARE,On any ONE (1) THERMACARE Item
 Blue Buffalo,Save $5.00  Blue Buffalo,when you buy ONE (1) bag of BLUE Wilderness Dry Dog Food (4lb or larger)
 DentaLife®,$2.00 OFF  DentaLife®,on ONE (1) 6oz or larger DentaLife® Dog Treats & Chews
 Kellogg's® Cereals,SAVE $1.00  Kellogg's® Cereals,on ONE (1) Kellogg's® Little Debbie® Nutty Buddy Cereal
 Friskies® Lil's,SAVE $1.00  Friskies® Lil's,"on FIVE (5) individual 1.2 oz - 1.55 oz Friskies® Lil' Soups, Lil' Grillers, or Lil' Gravies® Cat Complements"
 Gerber®,Save $2.00  Gerber®,off any FIVE (5) Gerber® Organic Products
 Splenda Brand Sweeteners,Save $2.00  Splenda Brand Sweeteners,"On Any ONE (1) Splenda sweetener - original, stevia, monk fruit, liquid. (Excludes 50ct original and 40ct stevia)"
 Friskies® Lil' Shakes or Lil' Slurprises Cat Complements,SAVE $1.00  Friskies® Lil' Shakes or Lil' Slurprises Cat Complements,on THREE (3) individual 1.2 oz - 1.55 oz Friskies® Lil' Shakes or Lil' Slurprises Cat Complements
 Ensure®,Save $5.00  Ensure®,On any TWO (2) Ensure® Multipacks
 Cantu,SAVE $1.50  Cantu,on the purchase of any ONE (1) Cantu Hair Care or Skin Care item (Excludes Trial & Travel and Single-use Packettes)
 Canyon Bakehouse®,$1.00 OFF  Canyon Bakehouse®,"when you buy ONE (1) Canyon Bakehouse® Item, any variety, any size"
 TENA,Save $3.00  TENA,"on any ONE (1) TENA Product (Overnight Pads, Ultimate Pads, Maximum Pads, Any Underwear, or Brief)"
 Blue Buffalo Tastefuls Dry Cat Food,SAVE $4.00  Blue Buffalo Tastefuls Dry Cat Food,when you buy ONE (1) bag of BLUE Tastefuls Dry Cat Food (5lb or larger)
